Topics,Alpha,Beta,Coherence_C_V,Coherence_C_U_mass
25,2.8000000000000003,0.61,,-3.223494337030216
25,2.8000000000000003,0.9099999999999999,,-2.1187556171660877
25,3.1000000000000005,0.01,0.9213999609152413,-1.3979890795597
25,3.1000000000000005,0.31,0.8778144123850388,-2.0934427020430806
25,3.1000000000000005,0.61,,-1.4615309289553513
25,3.1000000000000005,0.9099999999999999,,-2.2123753969156947
25,3.400000000000001,0.01,0.8749537858723437,-2.3568185728844013
25,3.400000000000001,0.31,0.7734402160090097,-3.8361183538045305
25,3.400000000000001,0.61,,-1.50195862583915
25,3.400000000000001,0.9099999999999999,,-2.4103669926054643
25,3.7000000000000006,0.01,0.8448929962322651,-2.7038349733693146
25,3.7000000000000006,0.31,0.8746044282117384,-2.1734040401216737
25,3.7000000000000006,0.61,,-2.1583574543727635
25,3.7000000000000006,0.9099999999999999,,-3.0877186858440906
25,4.0,0.01,0.8939463345229893,-1.846946986171542
25,4.0,0.31,0.9446928424972443,-0.995043976695989
25,4.0,0.61,,-3.262759520961299
25,4.0,0.9099999999999999,,-2.9675158812145264
25,4.300000000000001,0.01,0.8448106191830032,-2.4155319939458946
25,4.300000000000001,0.31,0.8780338392084239,-2.1528493147162884
25,4.300000000000001,0.61,,-2.237421849773057
25,4.300000000000001,0.9099999999999999,,-2.6235376132361794
25,4.6000000000000005,0.01,0.9168531846856551,-1.679211919392519
25,4.6000000000000005,0.31,,-2.043574086173156
25,4.6000000000000005,0.61,,-1.6133340603355755
25,4.6000000000000005,0.9099999999999999,,-1.80457305411301
25,4.9,0.01,0.961944436350297,-0.756982587945501
25,4.9,0.31,0.9577474179274036,-0.6590268093760039
25,4.9,0.61,,-3.366017126291695
25,4.9,0.9099999999999999,,-2.8671262925608274
30,0.1,0.01,0.8891807039277716,-2.030583853604542
30,0.1,0.31,,-2.5629158058452473
30,0.1,0.61,,-2.1373180190891317
30,0.1,0.9099999999999999,,-2.9990546631818935
30,0.4,0.01,0.8264018134530304,-2.740994781042024
30,0.4,0.31,,-2.33601250739594
30,0.4,0.61,,-1.80622400295628
30,0.4,0.9099999999999999,,-2.7151356944553187
30,0.7000000000000001,0.01,0.908735771663277,-1.6480283275157377
30,0.7000000000000001,0.31,0.910160979331667,-1.7410456058972403
